"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
48387,157,"NPL","Nepal",2,"East",6,"Sagarmatha",35,"Udayapur","","Udaypur","Jilla","District"
48388,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",36,"Baitadi",""," ","Jilla","District"
48389,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",37,"Dadeldhura","","Dadelhura|Dadheldhura","Jilla","District"
48390,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",38,"Darchula",""," ","Jilla","District"
48391,157,"NPL","Nepal",3,"Far-Western",7,"Mahakali",39,"Kanchanpur",""," ","Jilla","District"
48392,157,"NPL","Nepal",3,"Far-Western",8,"Seti",40,"Achham",""," ","Jilla","District"
48393,157,"NPL","Nepal",3,"Far-Western",8,"Seti",41,"Bajhang",""," ","Jilla","District"
48394,157,"NPL","Nepal",3,"Far-Western",8,"Seti",42,"Bajura",""," ","Jilla","District"
48395,157,"NPL","Nepal",3,"Far-Western",8,"Seti",43,"Doti",""," ","Jilla","District"
48396,157,"NPL","Nepal",3,"Far-Western",8,"Seti",44,"Kailali",""," ","Jilla","District"
48397,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",45,"Banke",""," ","Jilla","District"
48398,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",46,"Bardiya","","Bardia","Jilla","District"
48399,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",47,"Dailekh",""," ","Jilla","District"
48400,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",48,"Jajarkot",""," ","Jilla","District"
48401,157,"NPL","Nepal",4,"Mid-Western",9,"Bheri",49,"Surkhet",""," ","Jilla","District"
48402,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",50,"Dolpa",""," ","Jilla","District"
48403,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",51,"Humla",""," ","Jilla","District"
48404,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",52,"Jumla",""," ","Jilla","District"
48405,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",53,"Kalikot",""," ","Jilla","District"
48406,157,"NPL","Nepal",4,"Mid-Western",10,"Karnali",54,"Mugu",""," ","Jilla","District"
48407,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",56,"Dang","","","",""
48408,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",56,"Pyuthan",""," ","Jilla","District"
48409,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",57,"Rolpa",""," ","Jilla","District"
48410,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",58,"Rukum",""," ","Jilla","District"
48411,157,"NPL","Nepal",4,"Mid-Western",11,"Rapti",59,"Salyan",""," ","Jilla","District"
48412,157,"NPL","Nepal",5,"West",13,"Gandaki",64,"Gorkha",""," ","Jilla","District"
48413,157,"NPL","Nepal",5,"West",13,"Gandaki",65,"Kaski",""," ","Jilla","District"
48414,157,"NPL","Nepal",5,"West",13,"Gandaki",66,"Lamjung",""," ","Jilla","District"
48415,157,"NPL","Nepal",5,"West",13,"Gandaki",67,"Manang",""," ","Jilla","District"
48416,157,"NPL","Nepal",5,"West",13,"Gandaki",68,"Syangja","","Syanja","Jilla","District"
48417,157,"NPL","Nepal",5,"West",13,"Gandaki",69,"Tanahu","","Tanahun","Jilla","District"
48418,157,"NPL","Nepal",5,"West",14,"Lumbini",50,"Kapilbastu","","","",""
48419,157,"NPL","Nepal",5,"West",14,"Lumbini",70,"Arghakhanchi","","Argakhachi","Jilla","District"
48420,157,"NPL","Nepal",5,"West",14,"Lumbini",71,"Gulmi",""," ","Jilla","District"
48421,157,"NPL","Nepal",5,"West",14,"Lumbini",73,"Nawalparasi",""," ","Jilla","District"
48422,157,"NPL","Nepal",5,"West",14,"Lumbini",74,"Palpa",""," ","Jilla","District"
48423,157,"NPL","Nepal",5,"West",14,"Lumbini",75,"Rupandehi",""," ","Jilla","District"
